date,country,ISO_2
2016-11-20,Argentina,AR
2016-11-20,Mexico,MX
2016-11-20,Norway,NO
2016-11-20,Sweden,SE
2016-11-21,Mexico,MX
2016-11-23,Japan,JP
2016-11-24,United States,US
2016-11-27,Norway,NO
2016-11-27,Sweden,SE
2016-11-30,Scotland,None
2016-11-30,United Kingdom,GB
2016-12-01,Portugal,PT
2016-12-04,Norway,NO
2016-12-04,Sweden,SE
2016-12-06,Finland,FI
2016-12-06,Spain,ES
2016-12-08,Argentina,AR
2016-12-08,Austria,AT
2016-12-08,Colombia,CO
2016-12-08,Italy,IT
2016-12-08,Portugal,PT
2016-12-08,Spain,ES
2016-12-11,Norway,NO
2016-12-11,Sweden,SE
2016-12-16,South Africa,ZA
2016-12-18,Norway,NO
2016-12-18,Sweden,SE
2016-12-23,Japan,JP
2016-12-24,Czech,CZ
2016-12-24,Finland,FI
2016-12-24,Sweden,SE
2016-12-25,Argentina,AR
2016-12-25,Australia,AU
2016-12-25,Austria,AT
2016-12-25,Belarus,BY
2016-12-25,Belgium,BE
2016-12-25,Brazil,BR
2016-12-25,Canada,CA
2016-12-25,Colombia,CO
2016-12-25,Croatia,HR
2016-12-25,Czech,CZ
2016-12-25,Denmark,DK
2016-12-25,England,None
2016-12-25,Finland,FI
2016-12-25,France,FR
2016-12-25,Germany,DE
2016-12-25,Hungary,HU
2016-12-25,India,IN
2016-12-25,Ireland,IE
2016-12-25,Isle of Man,IM
2016-12-25,Italy,IT
2016-12-25,Mexico,MX
2016-12-25,Netherlands,NL
2016-12-25,New Zealand,NZ
2016-12-25,Northern Ireland,None
2016-12-25,Norway,NO
2016-12-25,Poland,PL
2016-12-25,Portugal,PT
2016-12-25,Scotland,None
2016-12-25,Slovenia,SI
2016-12-25,South Africa,ZA
2016-12-25,Spain,ES
2016-12-25,Sweden,SE
2016-12-25,Switzerland,CH
2016-12-25,United Kingdom,GB
2016-12-25,United States,US
2016-12-25,Wales,None
2016-12-26,Australia,AU
2016-12-26,Austria,AT
2016-12-26,Canada,CA
2016-12-26,Croatia,HR
2016-12-26,Czech,CZ
2016-12-26,Denmark,DK
2016-12-26,England,None
2016-12-26,Finland,FI
2016-12-26,Germany,DE
2016-12-26,Hungary,HU
2016-12-26,Ireland,IE
2016-12-26,Isle of Man,IM
2016-12-26,Italy,IT
2016-12-26,Mexico,MX
2016-12-26,Netherlands,NL
2016-12-26,New Zealand,NZ
2016-12-26,Northern Ireland,None
2016-12-26,Norway,NO
2016-12-26,Poland,PL
2016-12-26,Scotland,None
2016-12-26,Slovenia,SI
2016-12-26,South Africa,ZA
2016-12-26,Sweden,SE
2016-12-26,United Kingdom,GB
2016-12-26,United States,US
2016-12-26,Wales,None
2016-12-27,Australia,AU
2016-12-27,Canada,CA
2016-12-27,England,None
2016-12-27,Ireland,IE
2016-12-27,Isle of Man,IM
2016-12-27,New Zealand,NZ
2016-12-27,Northern Ireland,None
2016-12-27,Scotland,None
2016-12-27,United Kingdom,GB
2016-12-27,Wales,None
2016-12-31,Sweden,SE
2017-01-01,Argentina,AR
2017-01-01,Australia,AU
2017-01-01,Austria,AT
2017-01-01,Belarus,BY
2017-01-01,Belgium,BE
2017-01-01,Brazil,BR
2017-01-01,Canada,CA
2017-01-01,Croatia,HR
2017-01-01,Czech,CZ
2017-01-01,Denmark,DK
2017-01-01,England,None
2017-01-01,Finland,FI
2017-01-01,France,FR
2017-01-01,Germany,DE
2017-01-01,Hungary,HU
2017-01-01,Ireland,IE
2017-01-01,Isle of Man,IM
2017-01-01,Italy,IT
2017-01-01,Japan,JP
2017-01-01,Mexico,MX
2017-01-01,Netherlands,NL
2017-01-01,New Zealand,NZ
2017-01-01,Northern Ireland,None
2017-01-01,Norway,NO
2017-01-01,Poland,PL
2017-01-01,Portugal,PT
2017-01-01,Scotland,None
2017-01-01,Slovenia,SI
2017-01-01,South Africa,ZA
2017-01-01,Spain,ES
2017-01-01,Sweden,SE
2017-01-01,Switzerland,CH
2017-01-01,Ukraine,UA
2017-01-01,United Kingdom,GB
2017-01-01,United States,US
2017-01-01,Wales,None
2017-01-02,Australia,AU
2017-01-02,Canada,CA
2017-01-02,England,None
2017-01-02,Ireland,IE
2017-01-02,Isle of Man,IM
2017-01-02,Japan,JP
2017-01-02,Mexico,MX
2017-01-02,New Zealand,NZ
2017-01-02,Northern Ireland,None
2017-01-02,Scotland,None
2017-01-02,Slovenia,SI
2017-01-02,South Africa,ZA
2017-01-02,United Kingdom,GB
2017-01-02,United States,US
2017-01-02,Wales,None
2017-01-03,New Zealand,NZ
2017-01-03,Scotland,None
2017-01-03,United Kingdom,GB
2017-01-06,Austria,AT
2017-01-06,Croatia,HR
2017-01-06,Finland,FI
2017-01-06,Italy,IT
2017-01-06,Poland,PL
2017-01-06,Spain,ES
2017-01-06,Sweden,SE
2017-01-07,Belarus,BY
2017-01-07,Ukraine,UA
2017-01-08,Norway,NO
2017-01-08,Sweden,SE
2017-01-09,Colombia,CO
2017-01-09,Japan,JP
2017-01-14,India,IN
2017-01-15,Norway,NO
2017-01-15,Sweden,SE
2017-01-16,United States,US
2017-01-22,Norway,NO
2017-01-22,Sweden,SE
2017-01-26,Australia,AU
2017-01-26,India,IN
2017-01-29,Norway,NO
2017-01-29,Sweden,SE
2017-02-05,Mexico,MX
2017-02-05,Norway,NO
2017-02-05,Sweden,SE
2017-02-06,Mexico,MX
2017-02-06,New Zealand,NZ
2017-02-08,Slovenia,SI
2017-02-11,Japan,JP
2017-02-12,Norway,NO
2017-02-12,Sweden,SE
2017-02-19,Norway,NO
2017-02-19,Sweden,SE
2017-02-20,Canada,CA
